leaf_categ_id,site_id,move_to,leaf_categ_name
101968,0,11777,Health & Beauty:Natural Therapies:Magnets:Bracelets:Gold
101969,0,11777,Health & Beauty:Natural Therapies:Magnets:Bracelets:Hematite
10196,0,10192,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Amethyst:Heart
101970,0,11777,Health & Beauty:Natural Therapies:Magnets:Bracelets:Other
101971,0,11777,Health & Beauty:Natural Therapies:Magnets:Insoles
101972,0,101972,Health & Beauty:Massage:Massage Pillows & Bolsters
101973,0,101973,Musical Instruments & Gear:Guitars & Basses:Parts & Accessories:Effects Pedals:Filter & Modulation
101974,0,101974,Musical Instruments & Gear:Guitars & Basses:Parts & Accessories:Effects Pedals:Loopers & Samplers
101975,0,101975,Musical Instruments & Gear:Guitars & Basses:Parts & Accessories:Effects Pedals:Power Supplies
101976,0,101976,Musical Instruments & Gear:Guitars & Basses:Parts & Accessories:Guitar Parts:Nuts
101977,0,101977,Musical Instruments & Gear:Guitars & Basses:Parts & Accessories:Guitar Parts:Saddles
101978,0,157161,Consumer Electronics:DJ Gear & Stage Lighting:Turntable Cartridges & Needles
10197,0,10192,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Amethyst:Oval
101980,0,4785,Musical Instruments:DJ Gear & Lighting:DJ Mixers:Gemini
101981,0,4785,Musical Instruments:DJ Gear & Lighting:DJ Mixers:Pioneer
101982,0,4785,Musical Instruments:DJ Gear & Lighting:DJ Mixers:Rane
101983,0,4785,Musical Instruments:DJ Gear & Lighting:DJ Mixers:Stanton
101984,0,4785,Musical Instruments:DJ Gear & Lighting:DJ Mixers:Vestax
101985,0,4785,Consumer Electronics:DJ Gear & Stage Lighting:Mixers
10198,0,10192,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Amethyst:Pear
10199,0,10192,"Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Amethyst:Round, Brilliant"
1019,0,1019,"Pottery & Glass:Glass:Glassware:40s, 50s, 60s:Anchor Hocking:Fire-King"
101,0,101,Collectibles:Decorative Collectibles:Decorative Collectible Brands:Longaberger:Other Longaberger
10200,0,10200,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Aquamarine
10202,0,10200,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Aquamarine:Oval
10203,0,10200,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Aquamarine:Pear
10204,0,10200,"Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Aquamarine:Round, Brilliant"
10205,0,10205,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Citrine
10207,0,10205,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Citrine:Oval
10208,0,10205,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Citrine:Pear
10209,0,10205,"Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Citrine:Round, Brilliant"
10210,0,3824,Jewelry & Watches:Loose Gemstones:Diamond
10211,0,3824,Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Emerald
10212,0,3824,Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Heart
10213,0,3824,Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Marquise
10214,0,3824,Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Oval
10215,0,3824,Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Pear
10216,0,3824,"Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Round, Brilliant:1.00 to 1.49 carats"
10217,0,3824,"Jewelry & Watches:Loose Diamonds & Gemstones:Diamonds (Natural):Square, Princess"
